id,MMLValueName,sourceORneighbour,TECH,table,actualTableValue,replaceString,FLAorCELLNAME
1,BSC,source,GSM,Radio_GCELL,neid,G09-1,CELLNAME
2,G18_Index,source,GSM,Radio_GCELL,CELLID,G18-1,CELLNAME
3,G9_Index,source,GSM,Radio_GCELL,CELLID,G09-1,CELLNAME
4,L18_cellName,source,L1800,L_CELL,CELLNAME,L18-1,CELLNAME
5,L18_LocalCellID,source,L1800,L_CELL,CELLID,L18-1,CELLNAME
6,L18_nodebName,source,L1800,L_CELL,neid,L18-1,CELLNAME
7,nDlEarfcn_L18-1,neighbour,L1800,L_CELL,DLEARFCN,L18-1,CELLNAME
8,nG18_Index,neighbour,GSM,Radio_GCELL,CELLID,G18-1,CELLNAME
9,nG9_CID,neighbour,GSM,Radio_UEXT2GCELL,GSMCELLINDEX,G09-1,CELLNAME
10,nG9_Index,neighbour,GSM,Radio_GCELL,CELLID,G09-1,CELLNAME
11,nL18_cellName,neighbour,L1800,L_CELL,CELLNAME,L18-1,CELLNAME
12,nL18_CID,neighbour,L1800,L_CELL,CELLID,L18-1,CELLNAME
13,nL18_enodeB_ID,neighbour,L1800,L_ENODEBFUNCTION,ENODEBID,L18-1,FLA
14,nL18_PhyCellId,neighbour,L1800,L_CELL,PHYCELLID,L18-1,CELLNAME
15,nL18_TAC,neighbour,L1800,L_CNOPERATORTA,TAC,L18-1,FLA
16,nRNC_ID,neighbour,UMTS,Radio_UCELL,nRNC_ID,U09-1,CELLNAME
17,nU21f1_CellName,neighbour,UMTS,Radio_UCELL,CELLNAME,U21-1,CELLNAME
18,nU21f1_CID,neighbour,UMTS,Radio_UCELL,CELLID,U21-1,CELLNAME
19,nU21f1_DL_UARCFN,neighbour,UMTS,Radio_UCELL,UARFCNDOWNLINK,U21-1,CELLNAME
20,nU21f1_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U21-1,CELLNAME
21,nU21f1_LAC,neighbour,UMTS,Radio_UCELL,LAC,U21-1,CELLNAME
22,nU21f1_RAC,neighbour,UMTS,Radio_UCELL,RAC,U21-1,CELLNAME
23,nU21f1_SC,neighbour,UMTS,Radio_UCELL,PSCRAMBCODE,U21-1,CELLNAME
24,nU21f2_CID,neighbour,UMTS,Radio_UCELL,CELLID,U21-2,CELLNAME
25,nU21f2_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U21-2,CELLNAME
26,nU21f3_CID,neighbour,UMTS,Radio_UCELL,CELLID,U21-3,CELLNAME
27,nU21f3_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U21-3,CELLNAME
28,nU9_CellName,neighbour,UMTS,Radio_UCELL,CELLNAME,U09-1,CELLNAME
29,nU9_CID,neighbour,UMTS,Radio_UCELL,CELLID,U09-1,CELLNAME
30,nU9_DL_UARCFN,neighbour,UMTS,Radio_UCELL,UARFCNDOWNLINK,U09-1,CELLNAME
31,nU9_Index,neighbour,UMTS,Radio_GEXT3GCELL,EXT3GCELLID,U09-1,CELLNAME
32,nU9_LAC,neighbour,UMTS,Radio_UCELL,LAC,U09-1,CELLNAME
33,nU9_RAC,neighbour,UMTS,Radio_UCELL,RAC,U09-1,CELLNAME
34,nU9_SC,neighbour,UMTS,Radio_UCELL,PSCRAMBCODE,U09-1,CELLNAME
35,RNC,source,UMTS,Radio_UCELL,neid,U09-1,CELLNAME
36,RNC_ID,source,UMTS,Radio_UCELL,RNC_ID,U09-1,CELLNAME
37,U21f1_CID,source,UMTS,Radio_UCELL,CELLID,U21-1,CELLNAME
38,U21f2_CID,source,UMTS,Radio_UCELL,CELLID,U21-2,CELLNAME
39,U21f3_CID,source,UMTS,Radio_UCELL,CELLID,U21-3,CELLNAME
40,U9_CID,source,UMTS,Radio_UCELL,CELLID,U09-1,CELLNAME
41,L07_cellName,source,L700,L_CELL,CELLNAME,L07-1,CELLNAME
42,L07_LocalCellID,source,L700,L_CELL,CELLID,L07-1,CELLNAME
43,L07_nodebName,source,L700,L_CELL,neid,L07-1,CELLNAME
44,nDlEarfcn_L07-1,neighbour,L700,L_CELL,DLEARFCN,L07-1,CELLNAME
45,nL07_cellName,neighbour,L700,L_CELL,CELLNAME,L07-1,CELLNAME
46,nL07_CID,neighbour,L700,L_CELL,CELLID,L07-1,CELLNAME
47,nL07_enodeB_ID,neighbour,L700,L_ENODEBFUNCTION,ENODEBID,L07-1,FLA
48,nL07_PhyCellId,neighbour,L700,L_CELL,PHYCELLID,L07-1,CELLNAME
49,nL07_TAC,neighbour,L700,L_CNOPERATORTA,TAC,L07-1,FLA
